id,categories,domains,scraped_data,title,h1_tag,description,href,keywords,h2_tag,done
1,"Abortion Alternatives",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Abortion Services",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Above Ground Pools",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Abrasives,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Absorbents,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"Access Control Systems",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"Accessible Web Design",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Accessories,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"Accessory Dwelling Unit (ADU) Builder",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"Accident Insurance",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"Accident Reconstruction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Accordion,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Accountant,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,Accounting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"Accounting and Bookkeeping Machines",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Accumulator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,Acid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"Acid Proof Materials",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"ACLS Certification",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"Acoustical Ceiling Contractors",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"Acoustical Consultant",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"Acoustic Ceiling Removal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"Acoustic Material",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,Acquisitions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"Acting Classes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
